,eventid,latitude,longitude,guncertain1,property,nwoundte,crit2,country,claim2,nkillter
367,197006270003,54.607712,-5.95621,0.0,0,,1,603,,
368,197006270004,54.607712,-5.95621,0.0,0,,1,603,,2.0
369,197006280001,42.331685,-83.047924,0.0,0,,1,217,,
370,197006290001,41.579662,-93.62150600000001,1.0,1,0.0,1,217,,0.0
371,197006290002,43.118460999999996,-87.902289,0.0,0,0.0,1,217,,0.0
372,197006300001,40.617622999999995,-74.417061,1.0,1,0.0,1,217,,0.0
373,197006300002,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
374,197006300003,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
375,197006300004,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
376,197006300005,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
